"8 1st characters of ""ID"" field";in which small file?
Flop;0
Ad 3d 2c;1
Td 3d 3c;2
8h 5d 3c;3
Ah Jd 3c;4
Kd Tc 4c;5
7d 7c 6c;6
Td 8d 7c;7
Qc Jc 7c;8
